"","Sample_ID","Average_OD","LM_5mc_Percentage","QU_5mc_Percentage","LM_2__5mc_Percentage"
"1","M-210",0.473,1.94383959354019,1.18169579410465,1.27034478669473
"2","M-3",0.419,1.69887497731809,1.01540520742444,1.11025466188373
"3","M-217",0.398,1.60361095989839,0.95239649118237,1.04799739112389
"4","M-12",0.229,0.836962438758846,0.474285971333673,0.546974593104266
"5","M-221",0.349,1.38132825258574,0.808700944702582,0.90273042601761
"6","M-20",0.1125,0.308473961168572,0.169845623351445,0.201594971984228
"7","M-204",0.2305,0.843767011431682,0.478327345794051,0.551421541015683
"8","M-218",0.214,0.768916712030484,0.434051286378269,0.502505113990098
"9","M-4",0.538,2.23870440936309,1.39088414443528,1.46304586285613
"10","M-219",0.27,1.02295409181637,0.585958329600162,0.668524502682992
"11","M-203",0.1865,0.644166213028489,0.36111371796721,0.420977735614123
"12","M-222",0.224,0.814280529849392,0.460838362605132,0.532151433399543
"13","M-211",0.265,1.00027218290691,0.572202886827603,0.653701342978269
"14","M-19",0.2285,0.834694247867901,0.472939575651878,0.545492277133794
"15","M-220",0.2415,0.89366721103248,0.508065059816775,0.584032492366073
"16","M-209",0.264,0.995735801125023,0.569456449825918,0.650736711037325
